"period","","price_w","area_m2"
"241","塘和家园桂花锦苑 2室1厅 71.79平米","199","71.79"
"223","凤凰小区 1室1厅 37.85平米","124","37.85"
"72","牡丹逸庭 2室1厅 71.36平米","203","71.36"
"65","普陀四村 1室1厅 32.03平米","176","32.03"
"45","和源名城 2室2厅 76.81平米","435","76.81"
"22","阳光威尼斯(四期)(公寓) 2室2厅 80.38平米","409","80.38"
"35","滨海一村 1室1厅 34平米","52","34"
"3","中环一号(一期) 3室2厅 107.25平米","530","107.25"
"165","长桥四村 2室1厅 56.34平米","307","56.34"
"26","惠康苑 1室1厅 59平米","140","59"
"35","沈家宅 1室1厅 43.32平米","227","43.32"
"228","宜川六村 1室0厅 38.15平米","180","38.15"
"254","祥东小区(虹口) 2室1厅 52.52平米","275","52.52"
"43","星河世纪广场 2房间1卫 56.53平米","128","56.53"
"217","虹康花苑(二期) 3室2厅 113平米","755","113"
"20","子长小区 1室1厅 41.24平米","165","41.24"
"4","翡翠公寓 3室2厅 134.57平米","630","134.57"
"170","天虹四村 2室1厅 65.27平米","175","65.27"
"135","塘和家园桂花锦苑 2室1厅 74.52平米","204","74.52"
"40","宜达新居 3室2厅 127.79平米","332","127.79"
"9","宜达新居 2室1厅 78.1平米","259","78.1"
"16","新理想花园 2室1厅 63.39平米","202","63.39"
"121","天和湖滨家园(公寓) 2室2厅 85.88平米","267","85.88"
"35","安东小区 2室1厅 41.45平米","234","41.45"
"88","徐泾北城欣沁苑 2室2厅 72平米","190","72"
"118","徐泾北城欣沁苑 2室2厅 71.98平米","227","71.98"
"81","双山小区 1室0厅 38.43平米","174","38.43"
"34","红旗五村 2室1厅 57.71平米","155","57.71"
"88","华润中央公园(浩翔路98弄) 3室2厅 128.93平米","636","128.93"
"28","北极星广场 2房间2卫 46.22平米","67","46.22"
"73","乐怡苑(普陀) 1室1厅 37.8平米","198","37.8"
"66","盈浦新村 2室2厅 82.55平米","268","82.55"
"248","武泰公寓 2室2厅 102.12平米","810","102.12"
"10","玉兰香苑(一期) 3室2厅 117.87平米","528","117.87"
"132","祁连二村 2室1厅 58.48平米","201","58.48"
"16","久耕小区 2室1厅 62.4平米","420","62.4"
"17","珠江香樟南园 2室2厅 97.79平米","733","97.79"
"81","宁强小区 2室1厅 53.52平米","372","53.52"
"66","华高一村 2室1厅 77.58平米","313","77.58"
"171","漕溪四村 2室1厅 62.89平米","401","62.89"
"168","三花现代城(一期丹桂苑) 1室1厅 67.71平米","355","67.71"
"120","奥林匹克花园 2室2厅 81.91平米","340","81.91"
"5","中环和乐苑 2室1厅 68.01平米","415","68.01"
"163","普育西路110号 2室1厅 64.37平米","455","64.37"
"16","东兰兴城(东兰新村) 2室1厅 89.39平米","432","89.39"
"1","金都花好悦园 3室1厅 119.23平米","481","119.23"
"19","静安新城四区 3室2厅 80.49平米","427","80.49"
"10","中虹家园 2室2厅 69.13平米","263","69.13"
"596","万顺水原墅(公寓) 2室2厅 85.77平米","289","85.77"
"23","龙柏四村 1室1厅 50.89平米","265","50.89"
"206","仁恒运杰河滨花园 3室2厅 132.86平米","366","132.86"
"218","浦发绿城西泰林路901弄 3室2厅 119.37平米","520","119.37"
"59","甘泉一村 2室1厅 44.69平米","202","44.69"
"1","解放新村 2室2厅 72.65平米","134","72.65"
"51","玉兰公寓 2室1厅 61平米","131","61"
"209","上海派 3室2厅 88平米","265","88"
"112","金沙雅苑(一期) 2室2厅 91.98平米","581","91.98"
"119","漕溪四村 1室1厅 39.7平米","300","39.7"
"44","绿地香颂(浦东)(公寓) 3室2厅 87.91平米","439","87.91"
"173","日晖二村 1室1厅 50.32平米","236","50.32"
"17","番南小区 1室1厅 37.5平米","370","37.5"
"44","真光七街坊 1室1厅 47.22平米","230","47.22"
"78","陆家浜大楼 2室0厅 55.27平米","485","55.27"
"30","西木小区 2室0厅 53.77平米","360","53.77"
"76","番禺小区 1室1厅 40.18平米","275","40.18"
"45","潍坊五村 2室0厅 52.53平米","355","52.53"
"143","三林世博家园(大道站路94弄) 3室2厅 113.37平米","507","113.37"
"143","新时代富嘉花园 3室2厅 138.7平米","1018","138.7"
"140","协和小区(协和路699弄) 2室1厅 57.33平米","309","57.33"
"13","岭南路270弄 2室1厅 47.48平米","210","47.48"
"137","浦江世博家园七街坊 2室2厅 80.59平米","330","80.59"
"50","罗阳一村 1室1厅 53.19平米","221","53.19"
"407","绿波城 3室2厅 125.37平米","477","125.37"
"25","中怡家园 2室1厅 77.95平米","280","77.95"
"126","汇成五村 1室1厅 38.6平米","233","38.6"
"39","馨佳园(菊泉街1398弄) 2室2厅 77.48平米","270","77.48"
"14","金顺佳苑 2室1厅 76.5平米","182","76.5"
"186","航华一村 2室1厅 65.09平米","263","65.09"
"31","广达新苑 2室2厅 85.07平米","370","85.07"
"5","东兰小区 2室1厅 57.77平米","309","57.77"
"64","巴黎之春 5室3厅 236.08平米","1060","236.08"
"65","新乐雅苑 3室2厅 121平米","298","121"
"149","延吉东路82弄 1室1厅 31.41平米","149","31.41"
"52","兴荣苑 2室2厅 74.51平米","403","74.51"
"127","延铁小区 2室1厅 61.47平米","359","61.47"
"58","龙湖紫都城 2室2厅 79.92平米","300","79.92"
"66","管弄三街坊 2室1厅 59.64平米","319","59.64"
"120","齐友佳苑 2室2厅 80.69平米","328","80.69"
"43","中铁逸都 3室2厅 102.46平米","338","102.46"
"37","怡田小区 3室1厅 65.9平米","208","65.9"
"15","新城盛景园 3室2厅 88.87平米","330","88.87"
"53","李园一村 2室1厅 56.44平米","150","56.44"
"18","阳光城新界 2室2厅 80.84平米","314","80.84"
"216","巨峰家苑(公寓) 2室2厅 101.97平米","530","101.97"
"134","仙逸小区 2室1厅 48.94平米","298","48.94"
"43","爱博五村 2室2厅 85.01平米","373","85.01"
"257","龙湖郦城 2室2厅 92.48平米","375","92.48"
"7","德盈佳园 3室2厅 141平米","255","141"
"156","兰城小区 2室1厅 62.7平米","315","62.7"
"78","古美八村 3室1厅 78.18平米","408","78.18"
"94","金杨新村五街坊 2室1厅 60.43平米","275","60.43"
"10","潼港六村 2室1厅 80.95平米","285","80.95"
"520","明天华城 2室2厅 97平米","429","97"
"8","两河流域 4室3厅 244.59平米","1060","244.59"
"6","银都新村(8至10区) 2室1厅 56.22平米","230","56.22"
"148","绿地东上海二期 2室2厅 103.96平米","484","103.96"
"39","石化四村 1室1厅 31.92平米","47","31.92"
"86","海尚康庭 2室2厅 74.09平米","253","74.09"
"550","石化十村 2室1厅 46平米","62","46"
"71","唐丰苑 2室1厅 82.14平米","360","82.14"
"5","潼港一村 2室1厅 66.7平米","202","66.7"
"19","罗阳四村 2室1厅 60.59平米","278","60.59"
"142","银丰苑 1室1厅 55平米","209","55"
"13","海棠馨苑 2室1厅 67.12平米","212","67.12"
"15","西郊九韵城 2室2厅 74.12平米","280","74.12"
"135","浦江东旭公寓(669弄1-109号) 2室2厅 77.11平米","375","77.11"
"159","虹鹿花苑 2室1厅 80.1平米","379","80.1"
"38","仁和花苑 2室1厅 104.38平米","564","104.38"
"141","新高苑(三期) 2室2厅 83.38平米","394","83.38"
"62","古北新城 2室2厅 94.46平米","512","94.46"
"10","凌港城 2室2厅 85.52平米","225","85.52"
"170","金钻苑南区 2室2厅 81.3平米","293","81.3"
"9","和源馨苑 2室2厅 91.96平米","655","91.96"
"154","康桥月苑 2室2厅 72.27平米","258","72.27"
"64","香山新村西南街坊 2室0厅 45.85平米","248","45.85"
"36","三兴大楼 1室1厅 55.09平米","380","55.09"
"190","双秀西园 3室2厅 104.34平米","400","104.34"
"23","金塔新村 3室1厅 70.56平米","212","70.56"
"205","欧风家园 2室1厅 63.18平米","217","63.18"
"92","水闸小区 2室1厅 64平米","160","64"
"556","益民公寓 2室1厅 83.71平米","530","83.71"
"58","兴欣花苑 3室2厅 141.13平米","290","141.13"
"126","上大聚丰园 2室2厅 93.2平米","385","93.2"
"3","保利叶上海(一期) 2室2厅 80.04平米","380","80.04"
"30","绿地东海岸时尚广场 4房间1卫 58.22平米","129","58.22"
"92","嘉宝都市港湾 2室2厅 93.59平米","545","93.59"
"15","中环家园 2室2厅 104.4平米","630","104.4"
"83","申泉小区 2室1厅 50平米","318","50"
"18","丰庄十四街坊 2室1厅 61.12平米","279","61.12"
"11","大华二村 2室1厅 66.48平米","315","66.48"
"187","瑞虹新城二期(优贤生活) 3室2厅 147.89平米","1175","147.89"
"367","黄浦花园 2室1厅 76.51平米","303","76.51"
"193","市京一村 2室1厅 60.27平米","307","60.27"
"137","广中扩大小区 1室1厅 30.25平米","147","30.25"
"16","川杨新苑(二期) 2室2厅 87.2平米","386","87.2"
"54","阳景小区 1室0厅 34.71平米","132","34.71"
"20","园西二居 2室1厅 53平米","208","53"
"7","红旗小区 2室1厅 49.94平米","148","49.94"
"162","上海春城 2室2厅 99.05平米","528","99.05"
"103","财大小区 2室0厅 46.13平米","230","46.13"
"9","宝钢二村 2室1厅 50.63平米","207","50.63"
"582","罗山三村 2室1厅 49.4平米","230","49.4"
"9","公交新村 2室2厅 70.05平米","500","70.05"
"88","南杨小区(长清路) 1室1厅 38.86平米","196","38.86"
"153","流晶逸彩 4室2厅 147.06平米","765","147.06"
"37","港驳小区 1室1厅 42.44平米","235","42.44"
"8","密云小区 1室1厅 52平米","398","52"
"117","杉林新月环林东路879弄 2室1厅 73.49平米","360","73.49"
"59","翰锦苑 3室1厅 115.11平米","696","115.11"
"37","密云小区 2室1厅 62.37平米","450","62.37"
"8","柳博小区(博二小区) 2室1厅 61.45平米","333","61.45"
"3","华清名苑 3室2厅 131.41平米","815","131.41"
"8","密二小区 2室1厅 51.64平米","330","51.64"
"1","地杰国际城F欧香四季 车位","29","33.67"
"43","延吉一村 3室1厅 43.78平米","283","43.78"
"7","凉城路1201弄 2室1厅 46.3平米","220","46.3"
"49","祁连四村 2室2厅 82.92平米","359","82.92"
"25","慧华苑 2室2厅 85.83平米","323","85.83"
"76","川沙路5245弄 2室1厅 71.4平米","249","71.4"
"12","灵新小区 1室0厅 31.92平米","169","31.92"
"49","久耕小区 1室1厅 30.47平米","202","30.47"
"19","西镇小区(浦东) 2室1厅 54.05平米","394","54.05"
"70","爱庐世纪新苑 2室2厅 82.69平米","316","82.69"
"19","乾溪新村 1室1厅 41.02平米","167","41.02"
"78","潍坊六村 2室1厅 46.81平米","405","46.81"
"20","塘泾北苑 1室2厅 66.06平米","233","66.06"
"257","雍华府(公寓) 1室1厅 59.23平米","272","59.23"
"24","潍坊六村 1室1厅 38.08平米","355","38.08"
"80","世茂滨江花园 4室2厅 283.48平米","3050","283.48"
"72","爱建小区 3室1厅 76平米","445","76"
"9","安东小区 1室0厅 35.38平米","212","35.38"
"23","中远两湾城 3室2厅 131.1平米","762","131.1"
"513","云帆名苑 1室1厅 48.3平米","92","48.3"
"93","凌云新村 1室1厅 49.53平米","215","49.53"
"86","华建一街坊 2室1厅 71.09平米","303","71.09"
"7","舜峰家苑 1室1厅 56.25平米","202","56.25"
"51","东港花苑三村 2室2厅 82.89平米","190","82.89"
"1","三花现代城(二期香梅苑) 3室2厅 138.25平米","765","138.25"
"4","长桥一村 2室1厅 60.96平米","425","60.96"
"38","鹏润伊顿公馆 2室2厅 87.09平米","271","87.09"
"37","新梅花苑 2室1厅 76.77平米","315","76.77"
"489","红光花苑 4室2厅 111.12平米","271","111.12"
"8","光华园 2室1厅 59.6平米","475","59.6"
"8","万业紫辰苑 2室2厅 85.56平米","307","85.56"
"9","康乐小区(徐汇) 2室1厅 52.01平米","355","52.01"
"302","虹景苑 2室1厅 62.26平米","233","62.26"
"48","常兴家园 1室1厅 52.58平米","306","52.58"
"18","远洋香奈 2室1厅 67.35平米","685","67.35"
"12","斜土路2200弄 2室1厅 59.42平米","420","59.42"
"82","田林六村 2室1厅 41.36平米","223","41.36"
"48","宜山路701弄 2室1厅 50.18平米","265","50.18"
"17","丹桂佳苑 1室1厅 54.53平米","140","54.53"
"33","桂康小区 1室1厅 35.34平米","283","35.34"
"135","妙境二村 3室2厅 103.4平米","320","103.4"
"2","听潮五村 2室2厅 64.04平米","152","64.04"
"212","千汇苑 3室2厅 104.66平米","279","104.66"
"3","保利叶上海(一期) 3室2厅 88.21平米","445","88.21"
"14","佳伟景苑 2室1厅 76.12平米","275","76.12"
"116","中大九里德(公寓) 3室2厅 92.13平米","346","92.13"
"19","丰舍西苑 2室1厅 71.07平米","297","71.07"
"7","丽泽菊清苑 2室2厅 81.98平米","172","81.98"
"77","嘉城香馥湾 4室2厅 87.22平米","495","87.22"
"46","欣兰苑 3室2厅 105平米","220","105"
"173","富友嘉园 1室1厅 57.54平米","218","57.54"
"3","绿地新江桥城 1室2厅 61.23平米","240","61.23"
"71","金地褐石苑 3室2厅 83.67平米","359","83.67"
"387","南京西路公馆 1室2厅 81.86平米","667","81.86"
"41","御上海 2室1厅 65.62平米","270","65.62"
"72","晓园 4室2厅 211.35平米","1858","211.35"
"41","上海壹街区 2室2厅 90.11平米","938","90.11"
"19","逸庭苑 2室1厅 74.33平米","258","74.33"
"21","东园一村 1室1厅 41平米","354","41"
"436","丰庄十二街坊 2室1厅 71.85平米","297","71.85"
"177","恒大小区 2室1厅 62.28平米","327","62.28"
"98","古美小区 1室1厅 42.1平米","209","42.1"
"71","古美四村 2室2厅 63.62平米","332","63.62"
"165","共富二村 2室1厅 77.14平米","263","77.14"
"71","祁连四村 3室1厅 94.26平米","368","94.26"
"95","塘和家园德悦苑 1室1厅 48平米","121","48"
"10","源城锦翠苑 2室1厅 57.28平米","325","57.28"
"204","宛南六村 2室0厅 50.44平米","445","50.44"
"53","兰园小区 3室1厅 60.93平米","382","60.93"
"143","金杨新村三街坊 2室1厅 59.5平米","305","59.5"
"8","底特律财富天地 3房间1卫 60.38平米","75","60.38"
"125","上钢八九村 2室1厅 52.7平米","251","52.7"
"12","塘东小区 2室1厅 59.71平米","385","59.71"
"114","建国大厦 2室1厅 86.67平米","630","86.67"
"18","上南五村 1室1厅 34.39平米","208","34.39"
"130","久安小区 1室1厅 40.42平米","503","40.42"
"26","东安二村 2室1厅 68.68平米","429","68.68"
"84","东昌新村 1室1厅 39.16平米","320","39.16"
"170","润地华庭 2室2厅 108.95平米","970","108.95"
"59","济阳二村 2室1厅 66.64平米","350","66.64"
"87","共富一村 1室1厅 51.04平米","177","51.04"
"377","上钢八九村 1室1厅 38.37平米","183","38.37"
"9","上工新村 2室1厅 43.2平米","322","43.2"
"7","临沂大楼 2室1厅 61.77平米","350","61.77"
"9","梅林小区 1室0厅 32.68平米","159","32.68"
"36","清涧七街坊 1室1厅 49.16平米","205","49.16"
